21; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 255
22; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 255
23; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 255
24; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 255
25; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; 315
26; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 285
27; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 245
28; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; 275
29; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; 230
30; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; 285

1; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; 135
2; [EnemyGreen, 1]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyPurple, 1]; 125
3; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyGreen, 0]; 145
4; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyGreen, 1]; 145
5; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; 205
6; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; 220
7; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; 190
8; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; 260
9; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 270
10; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 240
11; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 255
12; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 255
