15; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 1]; 35
16; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyOrange, 1]; 65
17; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyYellow, 1]; [EnemyRed, 1]; 90
18; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; 40
19; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyYellow, 1]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyYellow, 1]; [EnemyRed, 0]; 100
20; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; 65
21; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; 95
22; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 160
23; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyYellow, 1]; 80
24; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyRed, 1]; 75
25; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyBlue, 1]; 115
26; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; 40
27; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; 90
28; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; 65
29; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; 115
30; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; 25

1; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; 50
2; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyRed, 1]; 175
3; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyPurple, 0]; 85
4; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 25
5; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyGreen, 0]; 225
6; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyGreen, 0]; 70
