4; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 800)]; [inimigo2, (90, -50)]; 135
5; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (-100, 300)]; [inimigos, (620, 800)]; [inimigo4, (100, 800)]; 135
6; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (1350, 100)]; [inimigo2, (90, -50)]; 135
7; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 700)]; [inimigo5, (1350, 100)]; 95
8; [inimigo2, (1350, 100)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 700)]; [inimigos, (90, -50)]; 70
9; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigos, (1350, 100)]; [inimigo3, (1350, 700)]; 150
10; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigos, (-100, 800)]; [inimigo2, (-50, 800)]; 110
11; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigos, (1350, 100)]; [inimigo2, (1350, 700)]; 110
12; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigos, (1200, -50)]; 135
13; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; 140
14; [inimigos, (90, -50)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; 90
15; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 130
16; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigos, (1350, 100)]; [inimigo2, (1350, 700)]; 110
17; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (1350, 100)]; 130
18; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigos, (1350, 700)]; 90
19; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigos, (1350, 700)]; 90
20; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigos, (1350, 700)]; 70
21; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (1350, 700)]; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigos, (1350, 700)]; 120
22; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; 70
23; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; 90
24; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigo2, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 40
25; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 80
26; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 60
27; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 80
28; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 60
29; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 80
30; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; [inimigos, (90, -50)]; 60

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
2; [inimigo2, (1350, 100)]; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (200, -50)]; [inimigo4, (-100, 800)]; 135
3; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (1200, -50)]; [inimigo3, (90, -50)]; 85
4; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 800)]; [inimigo4, (90, -50)]; 155
5; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (-100, 300)]; [inimigos, (-50, 800)]; [inimigo3, (1350, 100)]; 135
6; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (1350, 100)]; 90
7; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (-100, 300)]; [inimigos, (200, -50)]; [inimigo5, (1350, 100)]; 75
