16; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
17; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
18; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
19; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
20; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
21; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
22; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
23; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
24; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
25; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
26; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
27; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
28; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
29; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
30; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240

1; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
2; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
3; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
4; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
5; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
6; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
7; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
8; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
9; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
10; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
11; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
12; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
13; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
14; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
15; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
16; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
17; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
18; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
19; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
20; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
21; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
22; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 60
23; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
